URL_Length,Num_Dots,Num_Hyphens,Num_Special_Chars,Num_Subdomains,Has_IP_Address,Has_HTTPS,Domain_Age_Days,Domain_Registration_Length,Has_Suspicious_Words,Num_Redirects,External_Link_Ratio,Image_Link_Ratio,Form_Count,Password_Field_Present,Iframe_Count,Popup_Count,Favicon_External,Domain_Name_Length,URL_Entropy,Is_Phishing
120.0,2.0,4.0,10.0,3,0,0,197.0,364.0,1,6,0.373,0.148,2,0,3,3,0,34.0,5.345,1
40.0,3.0,1.0,0.0,2,0,1,,663.0,0,3,0.183,0.321,1,0,0,0,0,11.0,2.905,0
47.0,3.0,0.0,4.0,1,0,0,1689.0,1273.0,0,2,0.166,0.276,3,0,1,0,0,3.0,3.383,0
42.0,2.0,2.0,5.0,0,0,1,1217.0,655.0,0,1,0.328,0.271,2,0,1,0,1,10.0,3.912,0
61.0,2.0,0.0,4.0,0,0,1,1541.0,538.0,0,1,0.275,0.149,1,0,2,0,0,26.0,3.424,0
48.0,3.0,2.0,2.0,1,0,1,1943.0,1069.0,1,2,0.114,0.077,3,1,0,0,0,11.0,3.306,0
74.0,7.0,2.0,8.0,1,1,0,143.0,69.0,1,5,0.586,0.63,3,1,1,5,1,28.0,5.321,1
65.0,2.0,1.0,5.0,0,0,1,1565.0,1200.0,0,2,0.104,0.263,1,0,1,0,0,3.0,3.64,1
17.0,3.0,2.0,4.0,1,0,1,1918.0,351.0,0,1,0.156,,2,0,1,0,0,13.0,3.283,0
68.0,2.0,1.0,4.0,4,0,1,,532.0,1,4,0.587,0.241,6,1,4,3,0,34.0,3.912,1
52.0,3.0,2.0,5.0,2,0,1,1035.0,813.0,0,0,0.202,0.184,3,0,2,0,0,10.0,4.125,0
78.0,1.0,1.0,16.0,3,0,1,468.0,244.0,0,3,0.276,0.307,6,1,2,2,1,24.0,5.431,1
56.0,1.0,2.0,6.0,0,0,1,2728.0,342.0,0,0,0.263,0.019,1,1,0,1,0,10.0,3.22,0
133.0,1.0,3.0,6.0,0,0,1,292.0,412.0,1,4,0.458,0.392,1,1,2,5,0,36.0,4.52,1
,3.0,1.0,6.0,1,0,1,1600.0,743.0,1,1,0.181,0.471,3,0,1,0,0,7.0,2.527,0
58.0,2.0,1.0,2.0,0,0,1,2481.0,1196.0,0,0,0.339,0.334,1,0,4,0,0,15.0,3.505,0
62.0,3.0,1.0,2.0,1,0,1,3261.0,429.0,0,1,0.165,0.222,1,1,2,1,0,19.0,3.376,0
21.0,2.0,1.0,5.0,0,0,0,1403.0,926.0,0,1,0.245,0.134,2,1,1,0,0,13.0,2.758,0
69.0,4.0,6.0,12.0,3,0,0,266.0,405.0,1,3,0.779,0.453,1,0,0,1,1,26.0,5.767,1
